553778616 : 	FA	FA	FA	FA	55	55	0	6E	
772647952 : 	17	17	17	17	55	55	DA	20	
772687988 : 	17	18	17	17	55	55	DB	1E	
772767968 : 	17	18	17	17	55	55	DD	1C	
772848120 : 	17	17	17	17	55	55	DF	1B	
772888760 : 	18	18	18	17	55	55	E0	17	
772967292 : 	18	17	18	18	55	55	E2	15	
773008772 : 	17	18	18	17	55	55	E3	15	
773088672 : 	18	17	18	17	55	55	E5	13	
773248052 : 	18	18	17	17	55	55	E9	F	
773288848 : 	17	17	18	18	55	55	EA	E	
773408872 : 	17	17	17	18	55	55	ED	C	
773689960 : 	17	18	17	17	55	55	F4	5	
773729572 : 	17	17	17	17	55	55	F5	5	
773769272 : 	17	17	17	17	55	55	F6	4	
773848404 : 	17	17	17	17	55	55	F8	2	
773888016 : 	17	17	17	17	55	55	F9	1	
773928640 : 	17	17	17	17	55	55	FA	0	
774047640 : 	17	17	17	17	55	55	FD	FD	
774288452 : 	16	16	16	16	55	55	3	FB	
774328908 : 	16	16	16	16	55	55	4	FA	
774368092 : 	16	16	16	16	55	55	5	F9	
774409488 : 	16	15	16	16	55	55	6	F9	
774608988 : 	15	14	15	15	55	55	B	F8	
774647656 : 	14	15	14	14	55	55	C	F9	
774688968 : 	14	14	14	14	55	55	D	F9	
774808392 : 	13	13	13	13	55	55	10	FA	
774848768 : 	13	13	13	13	55	55	11	F9	
774889312 : 	13	13	13	13	55	55	12	F8	
774969720 : 	12	13	12	12	55	55	14	F9	
775049196 : 	12	13	12	12	55	55	16	F7	
775088720 : 	12	12	12	12	55	55	17	F7	
775169136 : 	12	11	12	12	55	55	19	F6	
775248952 : 	11	11	11	12	55	55	1B	F6	
775288728 : 	11	11	11	12	55	55	1C	F5	
775329696 : 	11	11	11	11	55	55	1D	F5	
775408752 : 	11	11	11	11	55	55	1F	F3	
775447932 : 	11	11	11	11	55	55	20	F2	
775529540 : 	11	11	11	11	55	55	22	F0	
775569824 : 	11	11	11	11	55	55	23	EF	
775649720 : 	11	10	10	11	55	55	25	EF	
775687460 : 	10	11	10	11	55	55	26	EE	
775728008 : 	10	10	10	11	55	55	27	EE	
775769400 : 	10	10	10	11	55	55	28	ED	
775808168 : 	10	10	10	10	55	55	29	ED	
775849472 : 	10	10	10	10	55	55	2A	EC	
775887468 : 	10	F	10	10	55	55	2B	EC	
775927504 : 	10	10	10	10	55	55	2C	EA	
775968644 : 	F	F	10	10	55	55	2D	EB	
776009272 : 	10	10	F	F	55	55	2E	EA	
776049740 : 	F	F	F	F	55	55	2F	EB	
776087388 : 	10	F	F	F	55	55	30	E9	
776168732 : 	F	F	F	10	55	55	32	E7	
776247528 : 	10	F	F	F	55	55	34	E5	
776287400 : 	F	F	F	F	55	55	35	E5	
776329724 : 	F	F	F	F	55	55	36	E4	
776368320 : 	F	F	F	F	55	55	37	E3	
776409708 : 	F	F	F	F	55	55	38	E2	
776448048 : 	F	F	F	F	55	55	39	E1	
776487228 : 	F	F	F	F	55	55	3A	E0	
776528368 : 	F	F	F	F	55	55	3B	DF	
776608784 : 	F	F	E	E	55	55	3D	DF	
776808272 : 	E	F	E	F	55	55	42	DA	
776848568 : 	E	F	E	F	55	55	43	D9	
776888852 : 	E	F	E	F	55	55	44	D8	
776967732 : 	E	F	E	F	55	55	46	D6	
777008532 : 	E	F	E	F	55	55	47	D5	
777048820 : 	E	F	E	F	55	55	48	D4	
777089120 : 	E	F	E	F	55	55	49	D3	
777168164 : 	E	F	E	E	55	55	4B	D2	
777209556 : 	E	E	E	E	55	55	4C	D2	
777249764 : 	E	E	E	E	55	55	4D	D1	
777289628 : 	E	E	E	E	55	55	4E	D0	
777328304 : 	E	E	E	E	55	55	4F	CF	
777369100 : 	E	E	E	E	55	55	50	CE	
777407436 : 	E	F	E	E	55	55	51	CC	
777448916 : 	E	E	E	E	55	55	52	CC	
777569192 : 	E	E	E	E	55	55	55	C9	
777608972 : 	E	E	E	E	55	55	56	C8	
777649092 : 	E	D	E	E	55	55	57	C8	
777769120 : 	E	D	E	E	55	55	5A	C5	
778728512 : 	E	D	E	D	55	55	72	AE	
778768548 : 	E	D	E	D	55	55	73	AD	
778809680 : 	E	D	E	D	55	55	74	AC	
778848868 : 	E	D	E	D	55	55	75	AB	
778928428 : 	F	D	E	D	55	55	77	A8	
779007900 : 	F	E	E	D	55	55	79	A5	
779127580 : 	F	E	E	E	55	55	7C	A1	
779208928 : 	F	E	F	E	55	55	7E	9E	
779289508 : 	F	E	10	E	55	55	80	9B	
779329548 : 	F	E	10	E	55	55	81	9A	
779408252 : 	10	E	F	E	55	55	83	98	
779448884 : 	10	F	F	E	55	55	84	96	
779529548 : 	10	F	10	E	55	55	86	93	
779568732 : 	10	F	10	F	55	55	87	91	
779609364 : 	10	F	10	F	55	55	88	90	
779688156 : 	10	F	10	F	55	55	8A	8E	
779769000 : 	10	F	10	F	55	55	8C	8C	
779848636 : 	10	F	10	10	55	55	8E	89	
779888764 : 	10	10	10	10	55	55	8F	87	
779929048 : 	10	10	10	10	55	55	90	86	
780008528 : 	10	10	10	10	55	55	92	84	
780048896 : 	11	10	10	10	55	55	93	82	
780089364 : 	10	10	10	10	55	55	94	82	
780129136 : 	11	10	11	10	55	55	95	7F	
780170020 : 	10	10	11	10	55	55	96	7F	
780208280 : 	11	10	11	10	55	55	97	7D	
780289112 : 	10	10	11	10	55	55	99	7C	
780329148 : 	11	10	10	10	55	55	9A	7B	
780407944 : 	10	10	10	10	55	55	9C	7A	
780448912 : 	10	10	10	10	55	55	9D	79	
780528976 : 	11	10	10	10	55	55	9F	76	
780568844 : 	11	10	10	10	55	55	A0	75	
780609564 : 	10	10	10	10	55	55	A1	75	
780648912 : 	11	10	10	10	55	55	A2	73	
780688352 : 	10	10	10	10	55	55	A3	73	
780728812 : 	11	10	10	10	55	55	A4	71	
780808116 : 	11	10	11	10	55	55	A6	6E	
780849264 : 	10	10	11	10	55	55	A7	6E	
780890056 : 	11	11	11	11	55	55	A8	6A	
780929412 : 	11	10	11	11	55	55	A9	6A	
780969028 : 	11	11	11	11	55	55	AA	68	
781009396 : 	11	10	11	11	55	55	AB	68	
781050032 : 	11	11	11	11	55	55	AC	66	
781128744 : 	11	11	11	11	55	55	AE	64	
781169796 : 	11	11	11	11	55	55	AF	63	
781209148 : 	11	11	11	11	55	55	B0	62	
781249776 : 	11	11	11	11	55	55	B1	61	
781328492 : 	11	12	11	12	55	55	B3	5D	
781368948 : 	12	12	12	12	55	55	B4	5A	
781407876 : 	12	12	12	12	55	55	B5	59	
781449780 : 	12	12	12	12	55	55	B6	58	
781529852 : 	12	12	12	12	55	55	B8	56	
781568612 : 	12	12	12	12	55	55	B9	55	
781610012 : 	12	12	12	12	55	55	BA	54	
781648512 : 	12	12	12	12	55	55	BB	53	
781689652 : 	12	12	12	12	55	55	BC	52	
781729516 : 	12	12	12	12	55	55	BD	51	
781768448 : 	12	12	12	12	55	55	BE	50	
781809416 : 	12	12	12	12	55	55	BF	4F	
781928416 : 	12	12	12	13	55	55	C2	4B	
781969388 : 	12	13	12	12	55	55	C3	4A	
782010016 : 	12	12	12	12	55	55	C4	4A	
782129696 : 	12	13	12	13	55	55	C7	45	
782208320 : 	12	13	12	12	55	55	C9	44	
782288648 : 	12	12	12	12	55	55	CB	43	
782408496 : 	12	12	12	12	55	55	CE	40	
782570080 : 	12	12	12	12	55	55	D2	3C	
782609180 : 	12	12	12	12	55	55	D3	3B	
782807828 : 	12	13	13	12	55	55	D8	34	
782969244 : 	13	13	12	13	55	55	DC	2F	
783048036 : 	13	13	13	13	55	55	DE	2C	
783129468 : 	13	13	13	13	55	55	E0	2A	
783168824 : 	13	13	13	13	55	55	E1	29	
783210048 : 	13	13	13	13	55	55	E2	28	
783248636 : 	13	13	13	13	55	55	E3	27	
783329644 : 	13	13	13	13	55	55	E5	25	
783370100 : 	13	13	13	13	55	55	E6	24	
783409968 : 	13	13	13	13	55	55	E7	23	
783449068 : 	13	13	13	13	55	55	E8	22	
783529144 : 	13	13	13	13	55	55	EA	20	
783607852 : 	13	13	13	13	55	55	EC	1E	
783648908 : 	13	13	13	13	55	55	ED	1D	
783728036 : 	13	13	13	13	55	55	EF	1B	
783769780 : 	14	13	13	13	55	55	F0	19	
783809212 : 	13	13	13	13	55	55	F1	19	
783888772 : 	13	12	13	13	55	55	F3	18	
783928044 : 	13	13	13	13	55	55	F4	16	
783970116 : 	13	12	13	13	55	55	F5	16	
784008028 : 	13	13	13	13	55	55	F6	14	
784048488 : 	13	13	13	12	55	55	F7	14	
784088692 : 	13	12	13	12	55	55	F8	14	
784128472 : 	13	12	13	12	55	55	F9	13	
784169784 : 	13	12	13	12	55	55	FA	12	
784207864 : 	13	12	13	12	55	55	FB	11	
784249344 : 	13	12	13	12	55	55	FC	10	
784288440 : 	12	12	13	12	55	55	FD	10	
784328824 : 	13	12	13	12	55	55	FE	E	
784369276 : 	12	12	12	12	55	55	FF	F	
784449260 : 	12	12	12	12	55	55	1	D	
784529160 : 	12	12	12	12	55	55	3	B	
784569372 : 	12	12	12	12	55	55	4	A	
784610168 : 	12	12	12	12	55	55	5	9	
784649948 : 	12	12	12	12	55	55	6	8	
784689728 : 	12	12	12	12	55	55	7	7	
784810092 : 	12	11	12	12	55	55	A	5	
784889136 : 	11	12	12	12	55	55	C	3	
784969036 : 	12	11	12	12	55	55	E	1	
785008392 : 	12	12	12	12	55	55	F	FF	
785048428 : 	11	11	12	12	55	55	10	0	
785088716 : 	12	12	12	12	55	55	11	FD	
785127648 : 	12	12	12	12	55	55	12	FC	
785169472 : 	12	12	12	12	55	55	13	FB	
785207972 : 	12	12	12	12	55	55	14	FA	
785250476 : 	12	12	12	12	55	55	15	F9	
785288216 : 	12	12	12	12	55	55	16	F8	
785329608 : 	12	12	12	12	55	55	17	F7	
785368204 : 	12	12	12	12	55	55	18	F6	
785410016 : 	12	12	12	12	55	55	19	F5	
785448020 : 	12	12	12	12	55	55	1A	F4	
785527148 : 	12	12	12	12	55	55	1C	F2	
785568540 : 	12	12	12	12	55	55	1D	F1	
785608152 : 	12	12	12	12	55	55	1E	F0	
785648868 : 	12	12	12	12	55	55	1F	EF	
785689412 : 	12	12	12	12	55	55	20	EE	
785727916 : 	13	12	12	12	55	55	21	EC	
785768036 : 	12	12	12	12	55	55	22	EC	
785808752 : 	13	12	12	12	55	55	23	EA	
785850572 : 	13	12	12	12	55	55	24	E9	
785888652 : 	13	12	12	12	55	55	25	E8	
785927412 : 	13	12	13	12	55	55	26	E6	
785969404 : 	13	12	13	12	55	55	27	E5	
786009012 : 	13	12	13	12	55	55	28	E4	
786130816 : 	13	12	13	12	55	55	2B	E1	
786208940 : 	13	12	13	12	55	55	2D	DF	
786248200 : 	13	13	13	13	55	55	2E	DC	
786290360 : 	13	12	13	13	55	55	2F	DC	
786328704 : 	13	13	13	13	55	55	30	DA	
786409108 : 	13	13	13	13	55	55	32	D8	
786807756 : 	13	12	13	13	55	55	3C	CF	
786969088 : 	13	12	13	13	55	55	40	CB	
787049504 : 	13	12	13	12	55	55	42	CA	
787088256 : 	13	12	13	12	55	55	43	C9	
787129736 : 	13	12	13	12	55	55	44	C8	
787168240 : 	13	12	13	12	55	55	45	C7	
787209040 : 	13	12	13	12	55	55	46	C6	
787290136 : 	13	12	13	12	55	55	48	C4	
787329316 : 	13	12	13	12	55	55	49	C3	
787367736 : 	13	12	13	12	55	55	4A	C2	
787409896 : 	13	12	13	12	55	55	4B	C1	
787449420 : 	12	12	13	12	55	55	4C	C1	
787530004 : 	12	12	12	12	55	55	4E	C0	
787568768 : 	12	12	12	12	55	55	4F	BF	
787609052 : 	12	12	12	12	55	55	50	BE	
787650020 : 	12	12	12	12	55	55	51	BD	
787690140 : 	12	12	12	12	55	55	52	BC	
787729156 : 	12	12	12	12	55	55	53	BB	
787770976 : 	12	12	12	12	55	55	54	BA	
787811096 : 	11	12	12	12	55	55	55	BA	
787890060 : 	12	12	12	12	55	55	57	B7	
787930272 : 	12	12	12	12	55	55	58	B6	
787970388 : 	11	12	12	12	55	55	59	B6	
788009152 : 	12	12	12	12	55	55	5A	B4	
788088708 : 	12	12	11	12	55	55	5C	B3	
788128920 : 	12	12	11	12	55	55	5D	B2	
788169456 : 	12	12	11	12	55	55	5E	B1	
788208388 : 	11	11	12	12	55	55	5F	B1	
788249440 : 	11	13	11	12	55	55	60	AF	
788289732 : 	11	10	12	12	55	55	61	B0	
788327980 : 	11	13	12	12	55	55	62	AC	
788369292 : 	11	11	11	12	55	55	63	AE	
788409580 : 	11	11	12	12	55	55	64	AC	
788449872 : 	11	12	11	12	55	55	65	AB	
788530288 : 	11	13	11	11	55	55	67	A9	
788609416 : 	11	12	11	11	55	55	69	A8	
788649280 : 	11	11	11	12	55	55	6A	A7	
788689148 : 	11	12	11	11	55	55	6B	A6	
788731136 : 	11	10	11	11	55	55	6C	A7	
788769304 : 	10	12	11	11	55	55	6D	A5	
788808148 : 	11	11	11	11	55	55	6E	A4	
788849288 : 	10	11	11	11	55	55	6F	A4	
788889668 : 	11	11	10	11	55	55	70	A3	
788928168 : 	10	11	10	11	55	55	71	A3	
788968372 : 	11	11	10	11	55	55	72	A1	
789008748 : 	10	11	10	11	55	55	73	A1	
789050140 : 	10	11	10	11	55	55	74	A0	
789091112 : 	10	10	11	10	55	55	75	A0	
789128768 : 	10	11	10	10	55	55	76	9F	
789169232 : 	10	10	10	11	55	55	77	9E	
789210876 : 	10	10	10	11	55	55	78	9D	
789249220 : 	10	11	11	11	55	55	79	9A	
789289504 : 	10	10	11	10	55	55	7A	9B	
789331072 : 	10	11	10	11	55	55	7B	99	
789368636 : 	10	10	10	11	55	55	7C	99	
789408076 : 	10	11	10	10	55	55	7D	98	
789449472 : 	10	10	10	10	55	55	7E	98	
789530136 : 	10	10	10	10	55	55	80	96	
789570512 : 	10	10	10	10	55	55	81	95	
789607996 : 	10	10	10	10	55	55	82	94	
789649052 : 	10	10	10	10	55	55	83	93	
789689344 : 	10	10	10	10	55	55	84	92	
789730404 : 	10	10	10	10	55	55	85	91	
789808088 : 	10	10	10	10	55	55	87	8F	
789849568 : 	10	F	10	10	55	55	88	8F	
789889856 : 	10	10	10	10	55	55	89	8D	
789928276 : 	10	F	10	10	55	55	8A	8D	
789968228 : 	F	10	F	10	55	55	8B	8D	
790009284 : 	10	F	F	10	55	55	8C	8C	
790049572 : 	10	10	F	F	55	55	8D	8B	
790089608 : 	F	F	F	F	55	55	8E	8C	
790129732 : 	F	F	F	F	55	55	8F	8B	
790169420 : 	F	10	F	F	55	55	90	89	
790209720 : 	F	F	F	F	55	55	91	89	
790250172 : 	F	F	F	F	55	55	92	88	
790290292 : 	F	F	F	F	55	55	93	87	
790329484 : 	F	F	F	F	55	55	94	86	
790369768 : 	F	F	F	F	55	55	95	85	
790408696 : 	F	F	F	F	55	55	96	84	
790449668 : 	F	F	F	F	55	55	97	83	
790530332 : 	F	10	F	F	55	55	99	80	
790570368 : 	F	F	F	F	55	55	9A	80	
790608700 : 	F	F	F	F	55	55	9B	7F	
790649588 : 	F	F	F	F	55	55	9C	7E	
790689796 : 	F	10	F	F	55	55	9D	7C	
790728552 : 	F	F	F	F	55	55	9E	7C	
790770372 : 	F	F	F	F	55	55	9F	7B	
790807692 : 	F	F	F	F	55	55	A0	7A	
790849848 : 	F	E	F	F	55	55	A1	7A	
790929664 : 	F	E	F	F	55	55	A3	78	
790970124 : 	F	F	F	F	55	55	A4	76	
791011260 : 	F	E	F	F	55	55	A5	76	
791048916 : 	F	F	F	F	55	55	A6	74	
791128144 : 	E	F	F	F	55	55	A8	73	
791169196 : 	F	F	F	F	55	55	A9	71	
791569796 : 	E	E	E	E	55	55	B3	6B	
791608392 : 	E	E	E	E	55	55	B4	6A	
791650036 : 	E	E	E	E	55	55	B5	69	
791688116 : 	E	E	E	E	55	55	B6	68	
791729936 : 	E	E	E	E	55	55	B7	67	
791768108 : 	D	E	E	E	55	55	B8	67	
791810260 : 	D	E	E	E	55	55	B9	66	
791848340 : 	D	E	D	E	55	55	BA	66	
791891352 : 	D	D	D	E	55	55	BB	66	
791928328 : 	D	E	D	E	55	55	BC	64	
791968616 : 	D	D	D	E	55	55	BD	64	
792009076 : 	D	D	D	D	55	55	BE	64	
792049452 : 	D	D	D	D	55	55	BF	63	
792088296 : 	C	D	D	D	55	55	C0	63	
792129612 : 	D	D	C	D	55	55	C1	62	
792169896 : 	C	D	C	D	55	55	C2	62	
792208492 : 	C	D	C	D	55	55	C3	61	
792249628 : 	C	D	C	D	55	55	C4	60	
792289916 : 	C	C	C	D	55	55	C5	60	
792329528 : 	C	D	C	D	55	55	C6	5E	
792369560 : 	C	C	C	D	55	55	C7	5E	
792408408 : 	C	D	C	C	55	55	C8	5D	
792449888 : 	C	C	B	C	55	55	C9	5E	
792530048 : 	B	C	B	C	55	55	CB	5D	
792568124 : 	B	C	B	C	55	55	CC	5C	
792610028 : 	B	C	B	C	55	55	CD	5B	
792651336 : 	B	C	B	B	55	55	CE	5B	
792689416 : 	B	B	B	B	55	55	CF	5B	
792728260 : 	B	B	B	B	55	55	D0	5A	
792769400 : 	A	B	B	B	55	55	D1	5A	
792811052 : 	A	B	A	B	55	55	D2	5A	
792848792 : 	A	B	A	B	55	55	D3	59	
792889512 : 	A	B	A	B	55	55	D4	58	
792930136 : 	A	B	A	B	55	55	D5	57	
792969244 : 	A	B	A	B	55	55	D6	56	
793008932 : 	A	B	A	B	55	55	D7	55	
793048880 : 	A	B	A	A	55	55	D8	55	
793089680 : 	A	B	A	A	55	55	D9	54	
793128952 : 	A	B	A	A	55	55	DA	53	
793168908 : 	A	A	A	A	55	55	DB	53	
793209192 : 	9	A	9	A	55	55	DC	54	
793248292 : 	A	A	9	A	55	55	DD	52	
793288412 : 	9	A	9	A	55	55	DE	52	
793328616 : 	9	A	9	A	55	55	DF	51	
793368744 : 	9	A	9	A	55	55	E0	50	
793407836 : 	9	A	9	A	55	55	E1	4F	
793448808 : 	9	A	9	A	55	55	E2	4E	
793529132 : 	9	9	9	A	55	55	E4	4D	
793569344 : 	9	A	9	9	55	55	E5	4C	
793608948 : 	8	9	9	9	55	55	E6	4D	
793649832 : 	9	9	8	9	55	55	E7	4C	
793689696 : 	8	9	8	9	55	55	E8	4C	
793728712 : 	8	9	8	9	55	55	E9	4B	
793768660 : 	7	9	8	9	55	55	EA	4B	
793809292 : 	8	9	7	9	55	55	EB	4A	
793848648 : 	7	9	7	9	55	55	EC	4A	
793888860 : 	8	8	7	9	55	55	ED	49	
793929228 : 	8	9	7	8	55	55	EE	48	
793968580 : 	7	8	7	8	55	55	EF	49	
794009808 : 	7	8	7	8	55	55	F0	48	
794047036 : 	7	8	7	8	55	55	F1	47	
794087244 : 	7	8	7	7	55	55	F2	47	
794128556 : 	7	8	7	7	55	55	F3	46	
794169528 : 	7	8	7	7	55	55	F4	45	
794207944 : 	7	8	6	7	55	55	F5	45	
794248996 : 	7	7	6	7	55	55	F6	45	
794288948 : 	7	7	6	7	55	55	F7	44	
794329492 : 	6	8	6	7	55	55	F8	43	
794368848 : 	7	7	6	7	55	55	F9	42	
794409648 : 	6	8	6	7	55	55	FA	41	
794450364 : 	6	7	6	7	55	55	FB	41	
794527540 : 	6	8	6	8	55	55	FD	3D	
794568088 : 	6	8	6	8	55	55	FE	3C	
794609992 : 	6	8	6	8	55	55	FF	3B	
794647308 : 	6	7	6	7	55	55	0	3C	
794688360 : 	6	8	6	7	55	55	1	3A	
794729076 : 	6	7	6	7	55	55	2	3A	
794770300 : 	6	7	6	7	55	55	3	39	
794849012 : 	6	7	6	7	55	55	5	37	
794888028 : 	6	7	6	7	55	55	6	36	
794928996 : 	6	7	6	7	55	55	7	35	
794970052 : 	6	7	6	7	55	55	8	34	
795049272 : 	6	7	6	7	55	55	A	32	
795090328 : 	6	7	6	7	55	55	B	31	
795328156 : 	6	7	5	7	55	55	11	2C	
795408228 : 	6	8	5	7	55	55	13	29	
795847932 : 	7	8	6	8	55	55	1E	1B	
795888988 : 	7	8	6	8	55	55	1F	1A	
795928000 : 	7	8	6	8	55	55	20	19	
795968800 : 	7	9	6	8	55	55	21	17	
796007816 : 	7	9	6	8	55	55	22	16	
796050148 : 	7	9	6	8	55	55	23	15	
796088404 : 	7	9	6	8	55	55	24	14	
796130304 : 	8	9	7	9	55	55	25	10	
796168304 : 	7	9	7	9	55	55	26	10	
796209524 : 	7	9	6	8	55	55	27	11	
796249728 : 	7	9	6	9	55	55	28	F	
796289420 : 	8	A	6	9	55	55	29	C	
796328948 : 	8	A	7	9	55	55	2A	A	
796368904 : 	8	A	7	9	55	55	2B	9	
796408760 : 	8	A	7	9	55	55	2C	8	
796450244 : 	8	A	7	9	55	55	2D	7	
796531416 : 	8	A	8	9	55	55	2F	4	
796568052 : 	8	A	8	9	55	55	30	3	
796608428 : 	8	A	8	A	55	55	31	1	
796648036 : 	9	A	8	A	55	55	32	FF	
796691388 : 	8	A	8	A	55	55	33	FF	
796731252 : 	9	A	8	A	55	55	34	FD	
796771116 : 	9	A	8	A	55	55	35	FC	
796809288 : 	9	B	9	A	55	55	36	F9	
796851188 : 	9	B	9	A	55	55	37	F8	
796889436 : 	9	B	9	A	55	55	38	F7	
796930244 : 	9	B	9	A	55	55	39	F6	
796970024 : 	A	B	9	B	55	55	3A	F3	
797008268 : 	A	B	9	B	55	55	3B	F2	
797050008 : 	A	B	9	B	55	55	3C	F1	
797088508 : 	A	B	9	B	55	55	3D	F0	
797129052 : 	A	B	A	B	55	55	3E	EE	
797170276 : 	A	C	A	B	55	55	3F	EC	
797208188 : 	A	C	A	B	55	55	40	EB	
797249672 : 	B	C	A	C	55	55	41	E8	
797290128 : 	B	C	A	C	55	55	42	E7	
797328292 : 	B	C	B	C	55	55	43	E5	
797369856 : 	B	C	B	C	55	55	44	E4	
797410232 : 	B	C	B	C	55	55	45	E3	
797450096 : 	B	C	B	C	55	55	46	E2	
797529912 : 	C	D	C	D	55	55	48	DC	
797570124 : 	C	D	C	D	55	55	49	DB	
797607600 : 	C	D	C	D	55	55	4A	DA	
797650356 : 	C	D	C	D	55	55	4B	D9	
797688096 : 	C	D	C	D	55	55	4C	D8	
797729236 : 	C	D	C	D	55	55	4D	D7	
797770208 : 	D	D	C	D	55	55	4E	D5	
797810920 : 	D	E	D	E	55	55	4F	D1	
797848320 : 	D	E	D	E	55	55	50	D0	
797890144 : 	D	E	D	E	55	55	51	CF	
797928900 : 	D	E	D	E	55	55	52	CE	
797969540 : 	D	E	D	E	55	55	53	CD	
798008888 : 	E	E	D	E	55	55	54	CB	
798050280 : 	E	E	E	E	55	55	55	C9	
798089808 : 	E	F	E	E	55	55	56	C7	
798128396 : 	E	F	E	F	55	55	57	C5	
798168856 : 	E	F	E	F	55	55	58	C4	
798207956 : 	E	F	E	F	55	55	59	C3	
798248588 : 	E	F	E	F	55	55	5A	C2	
798290236 : 	F	F	E	F	55	55	5B	C0	
798329168 : 	F	F	F	F	55	55	5C	BE	
798370220 : 	F	F	F	F	55	55	5D	BD	
798407960 : 	F	F	F	F	55	55	5E	BC	
798450292 : 	F	10	F	F	55	55	5F	BA	
798487948 : 	F	10	F	10	55	55	60	B8	
798529604 : 	F	10	F	10	55	55	61	B7	
798570140 : 	F	10	F	10	55	55	62	B6	
798610260 : 	10	10	F	10	55	55	63	B4	
798648088 : 	10	10	10	10	55	55	64	B2	
798690248 : 	10	10	10	10	55	55	65	B1	
798729688 : 	10	10	10	10	55	55	66	B0	
798768700 : 	10	10	10	10	55	55	67	AF	
798810692 : 	10	10	10	10	55	55	68	AE	
798849876 : 	10	11	10	11	55	55	69	AB	
798888808 : 	10	11	10	11	55	55	6A	AA	
798931476 : 	10	11	10	11	55	55	6B	A9	
798969812 : 	11	11	11	11	55	55	6C	A6	
799008656 : 	11	11	11	11	55	55	6D	A5	
799048184 : 	11	11	11	11	55	55	6E	A4	
799090172 : 	11	11	11	11	55	55	6F	A3	
799129788 : 	11	11	11	12	55	55	70	A1	
799171260 : 	11	11	11	11	55	55	71	A1	
799209340 : 	11	11	11	11	55	55	72	A0	
799249804 : 	12	12	11	12	55	55	73	9C	
799290092 : 	12	12	11	12	55	55	74	9B	
799369992 : 	12	12	12	12	55	55	76	98	
799407988 : 	12	12	12	12	55	55	77	97	
799449636 : 	12	12	12	12	55	55	78	96	
799927932 : 	12	12	12	12	55	55	84	8A	
799969332 : 	12	12	12	12	55	55	85	89	
800008680 : 	12	13	12	12	55	55	86	87	
800048460 : 	12	13	12	13	55	55	87	85	
800087816 : 	12	13	12	13	55	55	88	84	
800128364 : 	12	13	12	13	55	55	89	83	
800169672 : 	12	13	12	13	55	55	8A	82	
800208856 : 	12	13	13	13	55	55	8B	80	
800248380 : 	13	13	13	13	55	55	8C	7E	
800291220 : 	13	13	13	13	55	55	8D	7D	
800330152 : 	13	13	13	13	55	55	8E	7C	
800369684 : 	13	13	13	13	55	55	8F	7B	
800407756 : 	13	13	13	13	55	55	90	7A	
800447960 : 	13	13	13	13	55	55	91	79	
800530072 : 	13	13	13	13	55	55	93	77	
800569768 : 	13	13	13	13	55	55	94	76	
800608276 : 	13	13	13	13	55	55	95	75	
800647884 : 	13	13	13	13	55	55	96	74	
800690220 : 	13	13	13	13	55	55	97	73	
800729396 : 	13	13	13	13	55	55	98	72	
800769516 : 	13	13	13	13	55	55	99	71	
800810996 : 	13	13	13	13	55	55	9A	70	
800850180 : 	13	13	13	13	55	55	9B	6F	
800889792 : 	13	13	13	13	55	55	9C	6E	
800929996 : 	13	13	14	13	55	55	9D	6C	
800971136 : 	13	13	13	13	55	55	9E	6C	
801008112 : 	14	13	13	13	55	55	9F	6A	
801048064 : 	14	14	13	13	55	55	A0	68	
801089720 : 	13	13	13	13	55	55	A1	69	
801129916 : 	13	13	13	14	55	55	A2	67	
801168428 : 	13	13	13	14	55	55	A3	66	
801209904 : 	14	13	14	14	55	55	A4	63	
801249256 : 	14	13	14	14	55	55	A5	62	
801288696 : 	14	14	14	14	55	55	A6	60	
801330008 : 	14	14	14	14	55	55	A7	5F	
801369448 : 	14	14	14	14	55	55	A8	5E	
801408292 : 	14	14	14	14	55	55	A9	5D	
801449944 : 	14	14	13	14	55	55	AA	5D	
801528140 : 	14	14	14	14	55	55	AC	5A	
801568864 : 	14	14	14	14	55	55	AD	59	
801609920 : 	14	14	14	14	55	55	AE	58	
801650116 : 	14	14	14	14	55	55	AF	57	
801690916 : 	14	14	14	14	55	55	B0	56	
801729080 : 	14	14	14	14	55	55	B1	55	
801768012 : 	14	14	14	14	55	55	B2	54	
801810936 : 	14	14	14	14	55	55	B3	53	
801849448 : 	14	14	14	14	55	55	B4	52	
801889476 : 	14	14	14	14	55	55	B5	51	
801929512 : 	14	14	14	14	55	55	B6	50	
801969376 : 	14	14	14	14	55	55	B7	4F	
802008228 : 	14	14	14	14	55	55	B8	4E	
802048936 : 	14	14	14	14	55	55	B9	4D	
802088128 : 	14	14	14	14	55	55	BA	4C	
802128928 : 	14	14	14	14	55	55	BB	4B	
802169636 : 	14	14	14	14	55	55	BC	4A	
802210096 : 	14	14	14	14	55	55	BD	49	
802249368 : 	14	14	14	14	55	55	BE	48	
802288552 : 	14	14	14	14	55	55	BF	47	
802329268 : 	14	14	14	14	55	55	C0	46	
802369388 : 	14	14	14	14	55	55	C1	45	
802408232 : 	14	14	14	14	55	55	C2	44	
802448012 : 	14	14	14	14	55	55	C3	43	
802527744 : 	14	14	14	14	55	55	C5	41	
802569228 : 	14	14	14	14	55	55	C6	40	
802608408 : 	14	14	14	14	55	55	C7	3F	
802649292 : 	14	14	14	14	55	55	C8	3E	
802687204 : 	14	14	14	14	55	55	C9	3D	
802729028 : 	14	14	14	14	55	55	CA	3C	
